Mnemonic      Mnemonic description
RACOCC   EQUALITY IN OCCUPATION
RACINC   EQUALITY IN INCOME
RACOPNOW OPPORTUNITIES IMPROVED IN LAST 5 YRS
RACOPWIL OPPORTUNITIES IMPROVE IN NEXT 5 YRS
RACIMP   IMPORTANCE OF RACE RELATIONS ISSUES TO R
RACINFO  HOW MUCH INFO DOES R HAVE ON RACE ISSUES
RACFIRM  HOW FIRM IS R'S OPINION ON RACIAL ISSUES
RACCARE  R'S CONCERN ABOUT RACIAL ISSUES
RACTHINK HOW OFTEN R & FRIENDS THINK ABOUT RACE ISSUES
RACWRITE R EVER WRITTEN OFFICIAL ABT RACE ISSUES
RACGIVE  HAS R GIVEN MONEY TO RACIAL ORGS
RACJOIN  EVER JOINED ORG WORKING ON RACIAL ISSUES
AFFRMACT FAVOR PREFERENCE IN HIRING BLACKS
WRKWAYUP BLACKS OVERCOME PREJUDICE WITHOUT FAVORS
BLKSIMP  HAVE CONDITIONS FOR BLACKS IMPROVED
CLOSEBLK HOW CLOSE FEEL TO BLACKS
CLOSEWHT HOW CLOSE FEEL TO WHITES
ALIENAT1 PEOPLE RUNNING COUNTRY DON'T CARE
ALIENAT2 RICH GET RICHER, POOR POORER
ALIENAT3 WHAT YOU THINK DOESN'T COUNT
ALIENAT4 YOU'RE LEFT OUT OF THINGS
ALIENAT5 POWERFUL PEOPLE TAKE ADVANTAGE OF YOU
ALIENAT6 PEOPLE IN WASH D.C. ARE OUT OF TOUCH
HAPPY    GENERAL HAPPINESS
HAPMAR   HAPPINESS OF MARRIAGE
HAPCOHAB HAPPINESS OF RELT WITH PARTNER
HEALTH   CONDITION OF HEALTH
LIFE     IS LIFE EXCITING OR DULL
HELPFUL  PEOPLE HELPFUL OR LOOKING OUT FOR SELVES
FAIR     PEOPLE FAIR OR TRY TO TAKE ADVANTAGE
TRUST    CAN PEOPLE BE TRUSTED
TRUSTY   CAN PEOPLE BE TRUSTED-VERSION Y
TRUST1   CAN PEOPLE BE TRUSTED (SEE CODEBOOK)
SATCITY  CITY OR PLACE R LIVES IN
SATHOBBY NON-WORKING ACTIVITIES, HOBBIES
SATFAM   FAMILY LIFE
SATFRND  FRIENDSHIPS
SATHEALT HEALTH AND PHYSICAL CONDITION
CONFINAN CONFID IN BANKS & FINANCIAL INSTITUTIONS
CONBUS   CONFIDENCE IN MAJOR COMPANIES
CONCLERG CONFIDENCE IN ORGANIZED RELIGION
CONEDUC  CONFIDENCE IN EDUCATION
CONFED   CONFID. IN EXEC BRANCH OF FED GOVT
CONLABOR CONFIDENCE IN ORGANIZED LABOR
CONPRESS CONFIDENCE IN PRESS
CONMEDIC CONFIDENCE IN MEDICINE
CONTV    CONFIDENCE IN TELEVISION
CONJUDGE CONFID. IN UNITED STATES SUPREME COURT
CONSCI   CONFIDENCE IN SCIENTIFIC COMMUNITY
CONLEGIS CONFIDENCE IN CONGRESS
                                        Page 11   Index
CONARMY  CONFIDENCE IN MILITARY
CONFINAY BANKS & FINANCIAL INSTITUTIONS:VER Z
CONBUSY  MAJOR COMPANIES:VERSION Z
CONCLERY ORGANIZED RELIGION:VERSION Z
CONEDUCY EDUCATION:VERSION Z
CONFEDY  EXEC BRANCH FED GOVT:VERSION Z
CONLABOY ORGANIZED LABOR:VERSION Z
CONPRESY PRESS:VERSION Z
CONMEDIY MEDICINE:VERSION Z
CONTVY   TELEVISION:VERSION Z
CONJUDGY UNITED STATES SUPREME COURT:VERSION Z
CONSCIY  SCIENTIFIC COMMUNITY:VERSION Z
CONLEGIY CONGRESS:VERSION Z
CONARMYY MILITARY:VERSION Z
MANNERS  GOOD MANNERS
SUCCESS  TRIES HARD TO SUCCEED
HONEST   HONEST
CLEAN    NEAT AND CLEAN
JUDGMENT GOOD SENSE AND SOUND JUDGMENT
CONTROL  SELF-CONTROL
ROLE     ACTS LIKE BOY-ACTS LIKE GIRL
AMICABLE GETS ALONG WELL WITH OTHER CHILDREN
OBEYS    OBEYS PARENTS WELL
RESPONSI RESPONSIBLE
CONSIDER CONSIDERATE OF OTHERS
INTEREST INTERESTED HOW AND WHY THINGS HAPPEN
STUDIOUS GOOD STUDENT
MANNERSY GOOD MANNERS-VERSION Y
SUCCESSY TRIES HARD TO SUCCEED-VERSION Y
HONESTY  HONEST-VERSION Y
CLEANY   NEAT AND CLEAN-VERSION Y
JUDGMENY GOOD SENSE, SOUND JUDGMENT-VERSION Y
CONTROLY SELF-CONTROL-VERSION Y
ROLEY    ACTS LIKE BOY-ACTS LIKE GIRL-VERSION Y
AMICABLY GETS ALONG WITH OTHER CHILDREN-VERSION Y
OBEYSY   OBEYS PARENTS WELL-VERSION Y
RESPONSY RESPONSIBLE-VERSION Y
CONSIDEY CONSIDERATE OF OTHERS-VERSION Y
INTERESY INTERESTED HOW THINGS HAPPEN-VERSION Y
STUDIOUY GOOD STUDENT-VERSION Y
MANNERSZ GOOD MANNERS-VERSION Z
SUCCESSZ TRIES HARD TO SUCCEED-VERSION Z
HONESTZ  HONEST-VERSION Z
CLEANZ   NEAT AND CLEAN-VERSION Z
JUDGMENZ GOOD SENSE, SOUND JUDGMENT-VERSION Z
CONTROLZ SELF-CONTROL-VERSION Z
ROLEZ    ACTS LIKE BOY-ACTS LIKE GIRL-VERSION Z
AMICABLZ GETS ALONG WITH OTHER CHILDREN-VERSION Z
OBEYSZ   OBEYS PARENTS WELL-VERSION Z
RESPONSZ RESPONSIBLE-VERSION Z
CONSIDEZ CONSIDERATE OF OTHERS-VERSION Z
INTERESZ INTERESTED HOW THINGS HAPPEN-VERSION Z
                                        Page 12   Index
STUDIOUZ GOOD STUDENT-VERSION Z
OBEY     TO OBEY
POPULAR  TO BE WELL LIKED OR POPULAR
THNKSELF TO THINK FOR ONES SELF
WORKHARD TO WORK HARD
HELPOTH  TO HELP OTHERS
CHLDSEX  QUALITIES FOR BOYS OR GIRLS
CHLDSEX1 QUALITIES FOR BOYS OR GIRLS:VARIANT
YOUNGEN  WHAT SHOULD YOUNGER GENERATION BE TAUGHT
SOCREL   SPEND EVENING WITH RELATIVES
SOCOMMUN SPEND EVENING WITH NEIGHBOR
SOCFREND SPEND EVENING WITH FRIENDS
SOCBAR   SPEND EVENING AT BAR
SOCPARS  SPEND EVENING WITH PARENTS
SOCSIBS  SPEND EVENING WITH SIBLINGS
AGED     SHOULD AGED LIVE WITH THEIR CHILDREN
AGEDPAR  SHOULD AGED LIVE WITH THEIR CHILDREN
AGEDCHLD SHOULD GROWN CHILDREN LIVE WITH PARENTS
WEEKSWRK WEEKS R WORKED LAST YEAR
PARTFULL WAS R'S WORK PART-TIME OR FULL-TIME?
DRINK    EVER DRINK ALCOHOLIC BEVERAGES?
DRUNK    EVER DRINK TOO MUCH?
SMOKE    DOES R SMOKE
QUITSMK  EVER TRIED TO QUIT SMOKING
SMOKECIG DOES R SMOKE CIGARETTES
CIGWEEK  HAS R SMOKED CIGARETTES IN LAST WEEK
EVSMOKE  HAS R EVER SMOKED
ANOMIA1  NEXT TO HEALTH, MONEY IS MOST IMPORTANT
ANOMIA2  WONDER IF ANYTHING IS WORTHWHILE
ANOMIA3  NO RIGHT & WRONG WAYS TO MAKE MONEY
ANOMIA4  LIVE ONLY FOR TODAY
ANOMIA5  LOT OF THE AVERAGE MAN GETTING WORSE
ANOMIA6  NOT FAIR TO BRING CHILD INTO WORLD
ANOMIA7  OFFICIALS NOT INTERESTED IN AVERAGE MAN
ANOMIA8  DON'T KNOW WHOM TO TRUST
ANOMIA9  MOST DON'T CARE WHAT HAPPENS TO OTHERS
JOBLOSE  IS R LIKELY TO LOSE JOB
JOBFIND  COULD R FIND EQUALLY GOOD JOB
SATJOB   WORK SATISFACTION
SATJOBHV JOB SATISFACTION
RICHWORK IF RICH, CONTINUE OR STOP WORKING
JOBINC   HIGH INCOME
JOBSEC   NO DANGER OF BEING FIRED
JOBHOUR  SHORT WORKING HOURS
JOBPROMO CHANCES FOR ADVANCEMENT
JOBMEANS WORK IMPORTANT AND FEEL ACCOMPLISHMENT
JOBKEEP  JOB SECURITY
JOBPAY   HIGH INCOME
JOBRISE  OPPORTUNITY FOR ADVANCEMENT
JOBHONOR OCCUPATION IS RECOGNIZED AND RESPECTED
JOBOFF   LEAVES TIME FOR LEISURE
JOBINTER INTERESTING WORK
                                        Page 13        Index
JOBINDEP ALLOWS ONE TO WORK INDEPENDENTLY
JOBRESP  RESPONSIBLE JOB TASKS
JOBPEOP  CONTACT WITH OTHER PEOPLE
JOBHELP  CAN HELP OTHERS
JOBSOC   USEFUL TO SOCIETY
JOBACCMP DOING SOMETHING MEANINGFUL
JOBSAFE  SAFE CONDITIONS
CLASS    SUBJECTIVE CLASS IDENTIFICATION
CLASSY   SUBJECTIVE SOCIAL CLASS-VERSION Y
RANK     R'S SELF RANKING OF SOCIAL POSITION
RANK10   R'S SOCIAL RANK 10 YEARS AGO
SATFIN   SATISFACTION WITH FINANCIAL SITUATION
FINALTER CHANGE IN FINANCIAL SITUATION
FINRELA  OPINION OF FAMILY INCOME
INCNEED  INCOME FAMILY NEEDS
MININC   MINIMUM AMOUNT OF INCOME NEEDED PER WEEK
WKSUB    DOES R OR SPOUSE HAVE SUPERVISOR
WKSUBS   DOES SUPERVISOR HAVE SUPERVISOR
WKSUB1   DOES R OR SPOUSE OR PARTNER HAVE A SUPERVISOR
WKSUBS1  DOES SUPERVISOR HAVE SUPERVISOR
WKSUP    DOES R OR SPOUSE SUPERVISE ANYONE
WKSUPS   DOES SUBORDINATE SUPERVISE ANYONE
WKSUP1   DOES R OR SPOUSE OR PARTNER SUPERVISE ANYONE
WKSUPS1  DOES SUBORDINANT SUPERVISE ANYONE
UNEMP    EVER UNEMPLOYED IN LAST TEN YRS
GOVAID   EVER RECEIVE WELFARE, UNEMP INSUR, ETC.
GETAID   EVER RECEIVED WELFARE?
UNION    DOES R OR SPOUSE BELONG TO UNION
UNION1   DOES R OR SPOUSE OR PARTNER BELONG TO UNION
GETAHEAD OPINION OF HOW PEOPLE GET AHEAD
PARSOL   R'S LIVING STANDARD COMPARED TO PARENTS
KIDSSOL  R'S KIDS LIVING STANDARD COMPARED TO R
FEHOME   WOMEN TAKE CARE OF HOME NOT COUNTRY
FEWORK   SHOULD WOMEN WORK
FEPRES   VOTE FOR WOMAN PRESIDENT
FEPOL    WOMEN NOT SUITED FOR POLITICS
FEPOLY   MEN OR WOMEN BETTER SUITED FOR POLITICS
FEIMP    IMPORTANCE OF WOMEN'S RIGHTS ISSUE TO R
FEINFO   HOW MUCH INFO R HAS ON WOMEN'S RGTS
FEFIRM   HOW FIRM IS R'S OPINION ON WOMEN'S RGHTS
FECARE   R'S CONCERN ABOUT WOMEN'S RIGHTS
FETHINK  HOW OFT R & FRNDS THINK ABT WOMEN'S RGTS
FEWRITE  R EVER WRITTEN OFFICIAL ABT WOMEN'S RGTS
FEGIVE   HAS R GIVEN MONEY TO WOMEN'S RIGHTS ORGS
FEJOIN   EVER JOINED ORG WORKING ON WOMEN'S RGTS
ABDEFECT STRONG CHANCE OF SERIOUS DEFECT
ABNOMORE MARRIED--WANTS NO MORE CHILDREN
ABHLTH   WOMAN'S HEALTH SERIOUSLY ENDANGERED
ABPOOR   LOW INCOME--CANT AFFORD MORE CHILDREN
ABRAPE   PREGNANT AS RESULT OF RAPE
ABSINGLE NOT MARRIED
ABANY    ABORTION IF WOMAN WANTS FOR ANY REASON
                                        Page 14          Index
ABORCT   HEARD SUPREME COURT DECISION ON ABORTION
ABPRO1   1ST ARGUMENT FOR ABORTION
ABPRO2   2ND ARGUMENT FOR ABORTION
ABPRO3   3RD ARGUMENT FOR ABORTION
ABCON1   1ST ARGUMENT AGAINST ABORTION
ABCON2   2ND ARGUMENT AGAINST ABORTION
ABCON3   3RD ARGUMENT AGAINST ABORTION
ABIMP    IMPORTANCE OF ABORTION ISSUE TO R
ABINFO   HOW MUCH INFO DOES R HAVE ON ABORTION
ABFIRM   HOW FIRM IS R'S OPINION ON ABORTION
ABCARE   HOW CONCERNED IS R ABOUT ABORTION
CHLDIDEL IDEAL NUMBER OF CHILDREN
CHLDMORE EXPECT MORE CHILDREN
CHLDNUM  HOW MANY CHILDREN EXPECTED
CHLDSOON CHILDREN EXPECTED IN 5 YEARS
PILL     BIRTH CONTROL INFORMATION
TEENPILL BIRTH CONTROL INFORMATION TO TEENS
PILLOK   BIRTH CONTROL TO TEENAGERS 14-16
SEXEDUC  SEX EDUCATION IN PUBLIC SCHOOLS
DIVLAW   DIVORCE LAWS
DIVLAWY  DIVORCE LAWS-VERSION Y
SPDUE    EVER ENTITLED TO ALIMONY OR CHLD SUPPORT
SPPAID   REGULARLY RECEIVED ALIMONY - CHLD SUPPRT
PREMARSX SEX BEFORE MARRIAGE
TEENSEX  SEX BEFORE MARRIAGE:TEENS 14-16
XMARSEX  SEX WITH PERSON OTHER THAN SPOUSE
HOMOSEX  HOMOSEXUAL SEX RELATIONS
HOMOCHNG HOMOSEXUALITY: INHERENT OR CHOICE?
PORNINF  MATERIALS PROVIDE INFO ABOUT SEX
PORNMORL MATERIALS LEAD TO BREAKDOWN IN MORALS
PORNRAPE MATERIALS LEAD TO RAPE
PORNOUT  MATERIALS PROVIDE OUTLET
PORNLAW  FEELINGS ABOUT PORNOGRAPHY LAWS
XMOVIE   SEEN X-RATED MOVIE IN LAST YEAR
XMOVIE1  SEEN PORN FILM (THEATER OR VCR) LAST YR
PORNIMP  IMPORTANCE OF PORNOGRAPHY ISSUE TO R
PORNINFO HOW MUCH INFO DOES R HAVE ON PORN ISSUE
PORNFIRM HOW FIRM IS R'S OPINION ON PORN ISSUE
SPANKING FAVOR SPANKING TO DISCIPLINE CHILD
LETDIE1  ALLOW INCURABLE PATIENTS TO DIE
LETDIE2  LET PATIENTS DIE IF DOCTORS AGREE
SUICIDE1 SUICIDE IF INCURABLE DISEASE
SUICIDE2 SUICIDE IF BANKRUPT
SUICIDE3 SUICIDE IF DISHONORED FAMILY
SUICIDE4 SUICIDE IF TIRED OF LIVING
SUINUM   PEOPLE R KNOWS SUICIDE OVER LIFETIME
SUINUM1  PEOPLE R KNOWS SUICIDE OVER LIFETIME
SUIREL1  R'S RELATIONSHIP TO CLOSEST SUICIDE
SUINEG1  DID CLOSEST SUICIDE NEGATIVELY IMPACT YOU
SUICLSE1 HOW CLOSE WERE YOU TO CLOSEST SUICIDE VICTIM
SUITIME1 HOW MANY YEARS AND MONTHS SINCE CLOSEST SUICIDE
SUIMTHS1 HOW MANY MONTHS SINCE CLOSEST SUICIDE
                                        Page 15              Index
SUIYRS1  HOW MANY YEARS SINCE CLOSEST SUICIDE
SUIREL2  R'S RELATIONSHIP TO 2ND CLOSEST SUICIDE
SUINEG2  DID 2ND CLOSEST SUICIDE NEGATIVELY IMPACT YOU
SUICLSE2 HOW CLOSE WEREYOU TO 2ND CLOSEST SUICIDE VICTIM
SUITIME2 HOW MANY YEARS AND MONTHS SINCE 2ND CLOSEST SUICIDE
SUIMTHS2 HOW MANY MONTHS SINCE 2ND CLOSEST SUICIDE
SUIYRS2  HOW MANY YEARS SINCE 2ND CLOSEST SUICIDE
STRIKE   PICKETING FOR LABOR STRIKE
CIVRIGHT CIVIL RIGHTS DEMONSTRATION
ANTIWAR  ANTI-WAR DEMONSTRATION
PROWAR   PRO-WAR DEMONSTRATION
SCHOOL   SCHOOL RELATED DEMONSTRATION
HIT      EVER PUNCHED OR BEATEN BY ANOTHER PERSON
HITAGE   BEATEN AS CHILD OR ADULT
HITNUM   IF BEATEN--HOW MANY TIMES
GUN      EVER THREATENED WITH GUN OR SHOT AT
GUNAGE   THREATENED OR SHOT AT AS CHILD OR ADULT
GUNNUM   IF THREATENED OR SHOT AT--HOW MANY TIMES
HITOK    EVER APPROVE OF MAN PUNCHING ADULT MALE
HITMARCH STRANGER IN PROTEST MARCH
HITDRUNK DRUNK BUMPED INTO MAN & WIFE
HITCHILD STRANGER HAD HIT MANS CHILD
HITBEATR STRANGER WAS BEATING UP A WOMAN
HITROBBR STRANGER HAD BROKEN INTO MANS HOUSE
POLHITOK EVER APPROVE OF POLICE STRIKING CITIZEN
POLABUSE CITIZEN SAID VULGAR OR OBSCENE THINGS
POLMURDR CITIZEN QUESTIONED AS MURDER SUSPECT
POLESCAP CITIZEN ATTEMPTING TO ESCAPE CUSTODY
POLATTAK CITIZEN ATTACKING POLICEMAN WITH FISTS
FEAR     AFRAID TO WALK AT NIGHT IN NEIGHBORHOOD
FEARHOME DOES R FEEL SAFE AND SECURE AT HOME
BURGLR   HOME BROKEN INTO DURING THE LAST YEAR
ROBBRY   FORCEFULLY ROBBED DURING THE LAST YEAR
OWNGUN   HAVE GUN IN HOME
PISTOL   PISTOL OR REVOLVER IN HOME
SHOTGUN  SHOTGUN IN HOME
RIFLE    RIFLE IN HOME
ROWNGUN  DOES GUN BELONG TO R
TICKET   EVER RECEIVED A TRAFFIC TICKET
ARREST   EVER PICKED UP OR CHARGED BY POLICE
CONVICTD CONVICTED OF CRIME EVER
LOCKEDUP PRISON OR JAIL EVER
HUNT     DOES R OR SPOUSE HUNT
HUNT1    DOES R OR SPOUSE OR PARTNER HUNT
HUNTOTHR DOES OTHER HOUSEHOLD MEMBER HUNT
NEWS     HOW OFTEN DOES R READ NEWSPAPER
TVHOURS  HOURS PER DAY WATCHING TV
RADIOHRS HOURS PER DAY LISTENING TO RADIO
PHONE    DOES R HAVE TELEPHONE
COOP2    R'S ATTITUDE TOWARD INTERVIEW
COOP     R'S ATTITUDE TOWARD INTERVIEW
COMPREND R'S UNDERSTANDING OF QUESTIONS
                                        Page 16   Index
FORM     FORM OF SPLIT QUESTIONNAIRE ASKED
RANDOM   RANDOMIZATION FOR FORM X
ABSPNO   ABORTION IF HUSBAND OPPOSES
ABHAVE1  HAVE ABORTION IF PROBABLE DEFECT
ABHAVE2  HAVE ABORTION IF HEALTH ENDANGERED
ABHAVE3  HAVE ABORTION IF COULDN'T AFFORD CHILD
ABLEGAL  SHOULD ABORTION EVER BE LEGAL
FECHLD   MOTHER WORKING DOESN'T HURT CHILDREN
FEHELP   WIFE SHOULD HELP HUSBANDS CAREER FIRST
FEPRESCH PRESCHOOL KIDS SUFFER IF MOTHER WORKS
FEFAM    BETTER FOR MAN TO WORK, WOMAN TEND HOME
ERAREAD  HAS R HEARD OR READ ABOUT ERA
ERAMEANS DOES R UNDERSTAND WHAT ERA MEANS
ERA      DOES R FAVOR OR OPPOSE ERA?
ERATELL  DOES R FAVOR OR OPPOSE ERA
ERAWHY1  1ST REASON FAVOR-OPPOSE ERA
ERAWHY2  2ND REASON FAVOR-OPPOSE ERA
ERAWHY3  3RD REASON FAVOR-OPPOSE ERA
ERAIMP   IMPORTANCE OF ERA ISSUE
ERAINFO  HOW MUCH INFO DOES R HAVE ABOUT ERA
ERAFIRM  HOW FIRM IS R'S OPINION ON ERA
FEBEAR   CAN WIFE REFUSE TO HAVE CHILDREN
FEWORKIF MARRIED WOMEN WORK IF JOBS LIMITED
RACSUBS  FAVOR ATTEMPTS TO INTEGRATE SUBURBS
RACSUBGV SUBURBAN GOVTS ENCOURAGE INTEGRATION
RACMAREL WHAT IF RELATIVE MARRIED OTHER RACE
RACMARPR EXPECT PROBS IN INTERRACIAL MARRIAGE
RACSUPS  EXPECT PROBS IF BLACKS SUPERVISE WHITES
RACTEACH DON'T HIRE TEACHERS AGAINST INTEGRATION
RACAVOID AVOID DRIVING THRU BLACK NEIGHBORHOOD
RACCHNG  TRY TO INTEGRATE SOCIAL CLUB
RACQUIT  QUIT IF COULDN'T INTEGRATE CLUB
RACDIF1  DIFFERENCES DUE TO DISCRIMINATION
RACDIF2  DIFFERENCES DUE TO INBORN DISABILITY
RACDIF3  DIFFERENCES DUE TO LACK OF EDUCATION
RACDIF4  DIFFERENCES DUE TO LACK OF WILL
SALFERGT SALIENCE, WOMEN'S RIGHTS
SALLABOR SALIENCE, LABOR LEADERS
SALSATFN SALIENCE, FINANCIAL SATISFACTION
SALABORT SALIENCE, ABORTION LAWS
SALSCI   SALIENCE, SCIENTIFIC COMMUNITY
DIVORCE5 DIVORCED IN LAST 5 YRS
DIVREL1  RELATIVES DIVORCED IN LAST YEAR
DIVREL4  RELATIVES DIVORCED BETWEEN 5 & 1 YRS AGO
UNEMP5   UNEMPLOYED IN LAST 5 YRS
UNREL1   RELATIVES UNEMPLOYED IN LAST YR
UNREL4   RELATIVES UNEMP BETWEEN 5 & 1 YRS AGO
HOSDIS5  HOSPITALIZED, DISABLED LAST 5 YRS
HOSREL1  RELS HOSPITALIZED IN LAST YEAR
HOSREL4  RELS HOSPITALIZED BETW 5 & 1 YRS AGO
DEATH5   RELATIVES DIED IN LAST 5 YRS
DEATH16  RELATIVES DIED SINCE AGE 16
                                        Page 17  Index
PADEATH  DEATH OF FATHER
MADEATH  DEATH OF MOTHER
CHLDDTH  DEATH OF CHILD
SIBDEATH DEATH OF SIBLING
SPDEATH  DEATH OF SPOUSE
TRAUMA1  TRAUMA SCALE, LAST YEAR
TRAUMA5  TRAUMA SCALE, LAST 5 YEARS
TRAREL1  TRAUMA OF RELATIVES, LAST YEAR
TRAREL5  TRAUMA OF RELATIVES, LAST 5 YRS
TRATOT1  TRAUMA LAST YEAR, SELF & RELATIVES
TRATOT5  TRAUMA LAST 5 YRS, SELF & RELATIVES
DEFSPDR  DEFENSE SPENDING--R'S POSITION
DEFSPDFG DEFENSE SPENDING--GOVT POSITION
HLPMINR  HELP MINORITIES--R'S POSITION
HLPMINFG HELP MINORITIES--GOVT POSITION
CUTSPDR  CUT GOVT SPENDING--R'S POSITION
CUTSPDFG CUT GOVT SPENDING--GOVT POSITION
IMPFAM   FAMILY AND CHILDREN
IMPWORK  CAREER AND WORK
IMPRELAX FREE TIME AND RELAXATION
IMPFREND FRIENDS AND ACQUAINTANCES
IMPKIN   RELATIVES
IMPCHURH RELIGION AND CHURCH
IMPPOL   POLITICS AND PUBLIC LIFE
PRIVACY  IS R CONCERNED ABOUT PRIVACY?
CIVIC    DOES R FOLLOW PUBLIC AFFAIRS?
RUSHED   HOW OFTEN R FEELS RUSHED
BORED    HOW OFTEN DOES R HAVE EXTRA TIME
STRESSWK STRESS AT WORK IN PAST 2 WKS
POLLGOOD DO SURVEYS SERVE GOOD PURPOSE
POLLTRUE TRUST RESULTS OF SURVEYS
FESERVE  MANDATORY CONSCRIPTION FOR FEMALES?
MESERVE  MANDATORY CONSCRIPTION FOR MALES?
TAXSERVE FAVOR CONSCRIPTION GIVEN TAXES?
MILQUAL  QUALITY OF PERSONS IN MILITARY
MILPAY   PAY AND BENEFITS FOR MILITARY PERSONNEL
FENUMOK  NUMBER OF WOMEN IN MILITARY
HINUMOK  NUMBER OF HISPANICS IN MILITARY
BLNUMOK  NUMBER OF BLACKS IN MILITARY
HINUMOKY NUMBER HISPANICS IN MILITARY-VERSION Y
BLNUMOKY NUMBER OF BLACKS IN MILITARY-VERSION Y
MILVOLOK HOW WELL HAS VOLUNTEER MILITARY WORKED?
FIGHTAIR WOMEN AS JET FIGHTER PILOTS
MECHANIC WOMEN AS TRUCK MECHANIC
NURSE    WOMEN AS NURSES IN COMBAT ZONE
TYPIST   WOMEN AS TYPIST IN PENTAGON
BRASS    WOMEN IN COMMAND OF MILITARY BASES
FIGHTLND WOMEN IN HAND-TO-HAND COMBAT
TRANSAIR WOMEN AS JET TRANSPORT PILOT
GUNNER   WOMEN AS AIR DEFENSE GUNNER IN U.S.
FIGHTSEA WOMEN AS CREW MEMBER OF COMBAT SHIP
FEFIGHT  ARE WOMEN ASSIGNED TO COMBAT
                                        Page 18   Index
FEDIRTY  ARE WOMEN ASSIGNED TO DIRTY JOBS
FEBRASS  DO WOMEN COMMAND OVER MEN
FEHLPMIL DO WOMEN RAISE EFFECTIVENESS OF MILITARY
DRAFT    RETURN TO THE DRAFT?
DRAFTFE  IF RETURN TO DRAFT, DRAFT WOMEN?
DRAFTEM  IF EMERGENCY, RETURN TO DRAFT?
DRAFTFEM IF EMERGENCY, DRAFT WOMEN ALSO?
DRAFTCOL COLLEGE STUDENTS EXEMPT FROM DRAFT?
DRAFTMAR MARRIED PERSONS EXEMPT FROM DRAFT?
DRAFTPAR PARENTS OF SMALL CHLDRN EXEMPT FRM DRAFT
DRAFTGAY GAYS EXEMPT FROM DRAFT?
DRAFTCO  CONSCIENTIOUS OBJECTOR EXEMPT FROM DRAFT
DRAFTDEF DEFENSE OCCUPATIONS EXEMPT FROM DRAFT?
VETFAM   FAMILY MEMBERS SERVED IN ARMED FORCES?
VETFAMNW ANY FAMILY MEMBERS IN ARMED FORCES NOW
MINMILOP MIN OPPORTUNITIES BETTER IN MILITARY?
FEMILOP  FEM OPPORTUNITIES BETTER IN MILITARY?
COPUNISH PUNISH DRAFT RESISTER'S?
COJAIL   JAIL DRAFT RESISTER'S?
MILOKME  MILITARY SERVICE GOOD EXPERIENCE FOR MEN
MILOKFE  MIL SERVICE GOOD EXPERIENCE FOR WOMEN
UPGRADE  REFUSE VOLS WITH NO BASIC SKILLS?
JOBTRAIN OBLIGATION TO TRAIN FOR CIVILIAN JOBS?
NUKEWAR  POSSIBILITY OF AN ALL-OUT ATOMIC WAR
LANDWAR  POSSIBILITY OF A CONVENTIONAL GROUND WAR
MORENUKE POSSIBILITY OF INCREASING ARMS RACE
LESSNUKE POSSIBILITY OF REDUCING ATOMIC WEAPONS
NONUKE   POSSIBILITY ELIMINATING ATOMIC WEAPONS
GUERILLA POSSIBILITY OF GUERILLA WARS
VETAID   ANY IN HH RECEIVE MIL OR VET BENEFITS
DEFWRKEV EVER WORK FOR MILITARY SUPPLIER?
DEFWRKNW CURRENTLY WORK FOR MILITARY SUPPLIER?
MILWRKEV EVER WORK FOR MILITARY OR DOD?
MILWRKNW CURRENTLY WORK FOR MILITARY OR DOD?
RESDEFWK LOCAL ECONOMY DEPENDS ON DEFENSE WORK?
OBVOTE   OBLIGATION--VOTING IN ELECTIONS
OBVOL    OBLIGATION--COMMUNITY SERVICE
OBJURY   OBLIGATION--JURY DUTY
OB911    OBLIGATION--REPORTING A CRIME
OBENG    OBLIGATION--BEING ABLE TO SPEAK ENGLISH
OBKNOW   OBLIGATION--KEEPING INFORMED
OBMEPAX  OBLIGATION--PEACETIME MIL SERVICE-MEN
OBMEWAR  OBLIGATION--WARTIME MIL SERVICE-MEN
OBFEPAX  OBLIGATION--PEACETIME MIL SERVICE-FEMALE
OBFEWAR  OBLIGATION--WARTIME MIL SERVICE-FEMALE
HELPPOOR SHOULD GOVT IMPROVE STANDARD OF LIVING?
HELPNOT  SHOULD GOVT DO MORE OR LESS?
HELPSICK SHOULD GOVT HELP PAY FOR MEDICAL CARE?
HELPBLK  SHOULD GOVT AID BLACKS?
NUMGIVEN NUMBER OF PERSONS MENTIONED
EQCLOSE  R FEELS EQUALLY CLOSE TO ALL PERSONS
RCLOSE1  R FEELS ESPECIALLY CLOSE TO PERSON #1
                                        Page 19 Index
RCLOSE2  R FEELS ESPECIALLY CLOSE TO PERSON #2
RCLOSE3  R FEELS ESPECIALLY CLOSE TO PERSON #3
RCLOSE4  R FEELS ESPECIALLY CLOSE TO PERSON #4
RCLOSE5  R FEELS ESPECIALLY CLOSE TO PERSON #5
CLOSE12  HOW CLOSE ARE PERSONS NUMBER 1 AND 2?
CLOSE13  HOW CLOSE ARE PERSONS NUMBER 1 AND 3?
CLOSE14  HOW CLOSE ARE PERSONS NUMBER 1 AND 4?
CLOSE15  HOW CLOSE ARE PERSONS NUMBER 1 AND 5?
CLOSE23  HOW CLOSE ARE PERSONS NUMBER 2 AND 3?
CLOSE24  HOW CLOSE ARE PERSONS NUMBER 2 AND 4?
CLOSE25  HOW CLOSE ARE PERSONS NUMBER 2 AND 5?
